,id,app_name,prime_genre,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating
1,281656475,PAC-MAN Premium,Games,100788224,USD,3.99,21292,26,4,4.5,6.3.5,4+
2,281796108,Evernote - stay organized,Productivity,158578688,USD,0,161065,26,4,3.5,8.2.2,4+
3,281940292,"WeatherBug - Local Weather, Radar, Maps, Alerts",Weather,100524032,USD,0,188583,2822,3.5,4.5,5.0.0,4+
4,282614216,"eBay: Best App to Buy, Sell, Save! Online Shopping",Shopping,128512000,USD,0,262241,649,4,4.5,5.10.0,12+
5,282935706,Bible,Reference,92774400,USD,0,985920,5320,4.5,5,7.5.1,4+
6,283619399,Shanghai Mahjong,Games,10485713,USD,0.99,8253,5516,4,4,1.8,4+
7,283646709,PayPal - Send and request money safely,Finance,227795968,USD,0,119487,879,4,4.5,6.12.0,4+
8,284035177,Pandora - Music & Radio,Music,130242560,USD,0,1126879,3594,4,4.5,8.4.1,12+
9,284666222,PCalc - The Best Calculator,Utilities,49250304,USD,9.99,1117,4,4.5,5,3.6.6,4+
10,284736660,Ms. PAC-MAN,Games,70023168,USD,3.99,7885,40,4,4,4.0.4,4+
11,284791396,Solitaire by MobilityWare,Games,49618944,USD,4.99,76720,4017,4.5,4.5,4.10.1,4+
12,284815117,SCRABBLE Premium,Games,227547136,USD,7.99,105776,166,3.5,2.5,5.19.0,4+
13,284815942,Google  Search made just for mobile,Utilities,179979264,USD,0,479440,203,3.5,4,27,17+
14,284847138,Bank of America - Mobile Banking,Finance,160925696,USD,0,119773,2336,3.5,4.5,7.3.8,4+
15,284862767,FreeCell,Games,55153664,USD,4.99,6340,668,4.5,4.5,4.0.3,4+
16,284876795,TripAdvisor Hotels Flights Restaurants,Travel,207907840,USD,0,56194,87,4,3.5,21.1,4+
17,284882215,Facebook,Social Networking,389879808,USD,0,2974676,212,3.5,3.5,95,4+
18,284910350,"Yelp - Nearby Restaurants, Shopping & Services",Travel,167407616,USD,0,223885,3726,4,4.5,11.15.0,12+
